date,venue,title,category,start_time,end_time,price_text,event_url,instagram_url,is_museum,museum_name,notes,source
2026-10-03,ARCH Art Supplies,Fall Watercolor Experience with Rhonel Roberts,Workshop,11:00,15:00,$125.00,https://shop.archsupplies.com/products/oct-3-fall-watercolor-experience-with-rhonel-roberts?_pos=1&_sid=f8f23ade3&_ss=r,,false,,Materials included!,ARCH
2026-10-10,ARCH Art Supplies,Guided Urban Sketching with Cathy Raingarden,Workshop,11:00,13:00,$46.00,https://shop.archsupplies.com/products/october-10-guided-urban-sketching-with-cathy-raingarden?_pos=6&_sid=31c083dc7&_ss=r,,false,,,ARCH
2026-10-15,ARCH Art Supplies,ARCH After Hours: Tiny Pumpkin Decorating,Workshop,18:30,20:30,$10,https://shop.archsupplies.com/products/october-15-arch-after-hours-tiny-pumpkin-decorating?_pos=1&_sid=f8760245a&_ss=r,,false,,,ARCH
2026-10-15,ARCH Art Supplies,ARCH After Hours: Tiny Pumpkin Decorating,Workshop,18:30,20:30,$10,https://shop.archsupplies.com/products/nov-14-harvest-still-life-in-watercolor-mixed-media-with-suma-cm?utm_source=copyToPasteBoard&utm_medium=product-links&utm_content=web,,false,,"Harvest Still Life In Watercolor & Mixed Media with Suma CM • Saturday, November 14th, 11am-3pm, $46.00",ARCH
