date,venue,title,category,event_type,start_time,end_time,price_text,is_museum,museum_name,event_url,notes
2026-03-24,Sketchboard @ Madrone Art Bar,View Event →,Drink & Draw,,18:30,20:30,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/violet-madrone,Auto-imported from https://www.sketchboard.co/schedule
2026-03-31,Sketchboard @ Madrone Art Bar,Paz @ Madrone,Drink & Draw,,,,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/paz-madrone,Auto-imported from https://www.sketchboard.co/schedule
2026-03-31,Sketchboard @ Madrone Art Bar,View Event →,Drink & Draw,,18:30,20:30,$15 cash only (per Sketchboard schedule),no,,https://www.sketchboard.co/schedule/paz-madrone,Auto-imported from https://www.sketchboard.co/schedule
2026-05-03,Sketchboard (Figure),Sailor Moon: Figure Drawing Salon,Figure Drawing,,,,,no,,https://www.sketchboard.co/schedule/sailor-moon-figure-drawing-salon,Auto-imported from https://www.sketchboard.co/schedule
2026-05-03,Sketchboard (Figure),View Event →,Figure Drawing,,14:00,16:00,,no,,https://www.sketchboard.co/schedule/sailor-moon-figure-drawing-salon,Auto-imported from https://www.sketchboard.co/schedule
2026-06-14,Sketchboard (Figure),Adventure Time: Figure Drawing Salon,Figure Drawing,,,,,no,,https://www.sketchboard.co/schedule/adventure-time-figure-drawing-salon,Auto-imported from https://www.sketchboard.co/schedule
2026-06-14,Sketchboard (Figure),View Event →,Figure Drawing,,14:00,16:00,,no,,https://www.sketchboard.co/schedule/adventure-time-figure-drawing-salon,Auto-imported from https://www.sketchboard.co/schedule
2026-07-19,Sketchboard (Figure),James & The Giant Peach: Figure Drawing Salon,Figure Drawing,,,,,no,,https://www.sketchboard.co/schedule/james-the-giant-peach-figure-drawing-salon,Auto-imported from https://www.sketchboard.co/schedule
2026-07-19,Sketchboard (Figure),View Event →,Figure Drawing,,14:00,16:00,,no,,https://www.sketchboard.co/schedule/james-the-giant-peach-figure-drawing-salon,Auto-imported from https://www.sketchboard.co/schedule
2026-08-16,Sketchboard (Figure),Zelda: Figure Drawing Salon,Figure Drawing,,,,,no,,https://www.sketchboard.co/schedule/zelda-figure-drawing-salon,Auto-imported from https://www.sketchboard.co/schedule
2026-08-16,Sketchboard (Figure),View Event →,Figure Drawing,,14:00,16:00,,no,,https://www.sketchboard.co/schedule/zelda-figure-drawing-salon,Auto-imported from https://www.sketchboard.co/schedule
2026-10-18,Sketchboard (Figure),Rocky Horror Picture Show: Figure Drawing Salon,Figure Drawing,,,,,no,,https://www.sketchboard.co/schedule/rocky-horror-picture-show-figure-drawing-salon,Auto-imported from https://www.sketchboard.co/schedule
2026-10-18,Sketchboard (Figure),View Event →,Figure Drawing,,14:00,16:00,,no,,https://www.sketchboard.co/schedule/rocky-horror-picture-show-figure-drawing-salon,Auto-imported from https://www.sketchboard.co/schedule
