date,venue,title,category,start_time,end_time,price_text,event_url,instagram_url,is_museum,museum_name,notes,source
2026-09-30,111 Minna Gallery,Microfone Launch Party,111 Minna,18:00,20:00,,https://111minnagallery.com/event/microfone-launch-party/,,false,,,111 Minna
2026-10-01,111 Minna Gallery,"Art + AI Panel & Networking Lunch: Creators, Culture, and AI: Who Benefits?",111 Minna,11:00,14:00,,https://111minnagallery.com/event/art-ai-panel-networking-lunch-creators-culture-and-ai-who-benefits/,,false,,,111 Minna
2026-10-01,111 Minna Gallery,Downtown First Thursdays,111 Minna,17:00,22:00,,https://111minnagallery.com/event/downtown-first-thursdays-3/2026-10-01/,,false,,,111 Minna
2026-10-10,111 Minna Gallery,ArtSpan SF Open Studios,111 Minna,10:00,16:00,,https://111minnagallery.com/event/artspan-sf-open-studios/2026-10-10/,,false,,,111 Minna
2026-10-11,111 Minna Gallery,ArtSpan SF Open Studios,111 Minna,10:00,16:00,,https://111minnagallery.com/event/artspan-sf-open-studios/2026-10-11/,,false,,,111 Minna
